title,director,year,genres,seen_on,rating,country,comments,tags
The Unbearable Weight of Massive Talent,Tom Gormican,2022,"comedy,action",2023-09-10,Good,USA,,
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,"drama,romance,sci-fi",2023-09-08,Great,USA,,
Harry Potter and the Half-Blood Prince,David Yates,2009,"adventure,fantasy",2023-09-02,Not for me,GBR,,
Harry Potter and the Order of the Phoenix,David Yates,2007,"adventure,fantasy,action",2023-08-26,Not for me,GBR,,
The Hateful Eight,Quentin Tarantino,2015,"mystery,room,western",2023-08-13,Good,USA,,
Harry Potter and the Prisoner of Azkaban,Alfonso Cuarón,2004,"adventure,fantasy",2023-08-12,Not for me,GBR,,
Battle Royale,"Kinji Fukasaku",2000,"action,drama,violence",2023-08-07,Not for me,JPN,,
Frozen,"Chris Buck, Jennifer Lee",2013,"musical,adventure,fantasy",2023-08-06,Not for me,USA,,animation
The First Slam Dunk,Takehiko Inoue,2022,"sports,comedy,drama",2023-08-05,Good,JPN,,anime
Barbie,Greta Gerwig,2023,adventure,2023-08-03,Not for me,USA,,
Los iniciados,Juan Felipe Orozco,2023,crime,2023-07-29,Not for me,COL,,
Silencio en el paraíso,Colbert García,2011,drama,2023-07-23,Not for me,COL,,
Creep,Patrick Brice,2014,"suspense",2023-07-22,Good,USA,,
Oppenheimer,Christopher Nolan,2023,"bio:scientist,science,ww2,drama",2023-07-21,Not for me,USA,,
Snowden,Oliver Stone,2016,"bio,hacker,drama",2023-07-20,Not for me,USA,,
Asteroid City,Wes Anderson,2023,drama,2023-07-15,Not for me,USA,,
Elemental,Peter Sohn,2023,"animation,comedy,drama",2023-07-14,Good,USA,,
"Argentina, 1985",Santiago Mitre,2022,"drama,history",2023-07-13,Good,ARG,,
Indiana Jones and the Dial of Destiny,James Mangold,2023,"adventure,action",2023-07-09,Not for me,USA,,
Parasite,Boon Joon Ho,2019,"drama,mystery",2023-07-03,Great,KOR,,
